Attack,Layer,K,Metric,Raw_AUC,Corrected_AUC,Direction
inputaware,layer4,10,euclidean,0.9991,0.9991,Outward
inputaware,layer4,20,euclidean,0.9992,0.9992,Outward
inputaware,layer4,50,euclidean,0.9992,0.9992,Outward
lira,layer1,1,manhattan,0.0004,0.9996,Inward
lira,layer1,3,manhattan,0.0427,0.9573,Inward
lira,layer1,5,manhattan,0.1684,0.8316,Inward
lira,layer1,10,manhattan,0.3569,0.6431,Inward
lira,layer1,20,manhattan,0.4719,0.5281,Inward
lira,layer1,50,manhattan,0.5383,0.5383,Outward
lira,layer1,1,euclidean,0.0023,0.9977,Inward
lira,layer1,3,euclidean,0.0602,0.9398,Inward
lira,layer1,5,euclidean,0.1930,0.8070,Inward
lira,layer1,10,euclidean,0.3708,0.6292,Inward
lira,layer1,20,euclidean,0.4740,0.5260,Inward
lira,layer1,50,euclidean,0.5332,0.5332,Outward
lira,layer2,1,manhattan,0.0005,0.9995,Inward
lira,layer2,3,manhattan,0.0140,0.9860,Inward
lira,layer2,5,manhattan,0.0834,0.9166,Inward
lira,layer2,10,manhattan,0.2758,0.7242,Inward
lira,layer2,20,manhattan,0.4323,0.5677,Inward
lira,layer2,50,manhattan,0.5351,0.5351,Outward
lira,layer2,1,euclidean,0.0016,0.9984,Inward
lira,layer2,3,euclidean,0.0242,0.9758,Inward
lira,layer2,5,euclidean,0.1120,0.8880,Inward
lira,layer2,10,euclidean,0.3022,0.6978,Inward
lira,layer2,20,euclidean,0.4436,0.5564,Inward
lira,layer2,50,euclidean,0.5320,0.5320,Outward
lira,layer3,1,manhattan,0.0495,0.9505,Inward
lira,layer3,3,manhattan,0.1109,0.8891,Inward
lira,layer3,5,manhattan,0.1873,0.8127,Inward
lira,layer3,10,manhattan,0.3257,0.6743,Inward
lira,layer3,20,manhattan,0.4360,0.5640,Inward
lira,layer3,50,manhattan,0.5176,0.5176,Outward
lira,layer3,1,euclidean,0.0581,0.9419,Inward
lira,layer3,3,euclidean,0.1108,0.8892,Inward
lira,layer3,5,euclidean,0.1846,0.8154,Inward
lira,layer3,10,euclidean,0.3240,0.6760,Inward
lira,layer3,20,euclidean,0.4369,0.5631,Inward
lira,layer3,50,euclidean,0.5175,0.5175,Outward
lira,layer4,1,manhattan,0.1966,0.8034,Inward
lira,layer4,3,manhattan,0.3003,0.6997,Inward
lira,layer4,5,manhattan,0.3845,0.6155,Inward
lira,layer4,10,manhattan,0.4699,0.5301,Inward
lira,layer4,20,manhattan,0.5155,0.5155,Outward
lira,layer4,50,manhattan,0.5413,0.5413,Outward
lira,layer4,1,euclidean,0.2094,0.7906,Inward
lira,layer4,3,euclidean,0.3329,0.6671,Inward
lira,layer4,5,euclidean,0.4088,0.5912,Inward
lira,layer4,10,euclidean,0.4812,0.5188,Inward
lira,layer4,20,euclidean,0.5192,0.5192,Outward
lira,layer4,50,euclidean,0.5388,0.5388,Outward
refool,layer1,1,manhattan,0.3976,0.6024,Inward
refool,layer1,3,manhattan,0.5315,0.5315,Outward
refool,layer1,5,manhattan,0.5748,0.5748,Outward
refool,layer1,10,manhattan,0.6152,0.6152,Outward
refool,layer1,20,manhattan,0.6388,0.6388,Outward
refool,layer1,50,manhattan,0.6587,0.6587,Outward
refool,layer1,1,euclidean,0.5283,0.5283,Outward
refool,layer1,3,euclidean,0.6186,0.6186,Outward
refool,layer1,5,euclidean,0.6455,0.6455,Outward
refool,layer1,10,euclidean,0.6695,0.6695,Outward
refool,layer1,20,euclidean,0.6839,0.6839,Outward
refool,layer1,50,euclidean,0.6939,0.6939,Outward
refool,layer2,1,manhattan,0.1506,0.8494,Inward
refool,layer2,3,manhattan,0.2230,0.7770,Inward
refool,layer2,5,manhattan,0.2837,0.7163,Inward
refool,layer2,10,manhattan,0.3653,0.6347,Inward
refool,layer2,20,manhattan,0.4310,0.5690,Inward
refool,layer2,50,manhattan,0.4941,0.5059,Inward
refool,layer2,1,euclidean,0.3351,0.6649,Inward
refool,layer2,3,euclidean,0.4322,0.5678,Inward
refool,layer2,5,euclidean,0.4805,0.5195,Inward
refool,layer2,10,euclidean,0.5310,0.5310,Outward
refool,layer2,20,euclidean,0.5646,0.5646,Outward
refool,layer2,50,euclidean,0.5907,0.5907,Outward
refool,layer3,1,manhattan,0.6785,0.6785,Outward
refool,layer3,3,manhattan,0.7343,0.7343,Outward
refool,layer3,5,manhattan,0.7569,0.7569,Outward
refool,layer3,10,manhattan,0.7837,0.7837,Outward
refool,layer3,20,manhattan,0.8103,0.8103,Outward
refool,layer3,50,manhattan,0.8448,0.8448,Outward
refool,layer3,1,euclidean,0.7478,0.7478,Outward
refool,layer3,3,euclidean,0.7940,0.7940,Outward
refool,layer3,5,euclidean,0.8108,0.8108,Outward
refool,layer3,10,euclidean,0.8313,0.8313,Outward
refool,layer3,20,euclidean,0.8521,0.8521,Outward
refool,layer3,50,euclidean,0.8772,0.8772,Outward
